acc
X, Y, Z
0.5742774239999999, -0.31345976059999997, 10.1718888726
0.5551348432, -0.3278166962, 10.1790673404
0.5910271822, -0.3182454058, 10.1671032274
0.5958128274, -0.3062812928, 10.186245808199999
0.6005984726, -0.3158525832, 10.191031453399999
0.5982056499999999, -0.30149564759999997, 10.164710404799997
0.5982056499999999, -0.32063822839999995, 10.1718888726
0.5814558917999999, -0.32303105099999996, 10.3441720998
0.5838487144, -0.32303105099999996, 10.222138147199999
0.5838487144, -0.3038884702, 10.1838529856
0.5886343596, -0.30867411539999995, 10.1718888726
0.5814558917999999, -0.3182454058, 10.1790673404
0.5814558917999999, -0.30867411539999995, 10.1790673404
0.5862415369999999, -0.32542387359999997, 10.176674517799999
0.6005984726, -0.30149564759999997, 10.200602743799998
0.5910271822, -0.32063822839999995, 10.2077812116
0.5862415369999999, -0.31345976059999997, 10.193424275999998
0.5934200047999999, -0.31345976059999997, 10.200602743799998
0.5838487144, -0.31345976059999997, 10.191031453399999
0.5862415369999999, -0.3038884702, 10.200602743799998
0.5934200047999999, -0.30149564759999997, 10.188638630799998
0.562313311, -0.3182454058, 10.181460162999999
0.5694917787999999, -0.31345976059999997, 10.1958170986
0.5838487144, -0.3062812928, 10.198209921199998
0.5934200047999999, -0.3038884702, 10.186245808199999
0.6005984726, -0.31345976059999997, 10.191031453399999
0.5838487144, -0.32063822839999995, 10.186245808199999
0.5694917787999999, -0.3062812928, 10.198209921199998
0.5838487144, -0.3038884702, 10.200602743799998
0.6005984726, -0.3182454058, 10.176674517799999
